,Movie,Genre,Newbie,Star,Director,Music_Director,Screens,Budget,Revenue,ProfitFactor,Year,Duration,IMDb,Votes
683,Water,Drama,No,John Abraham,Deepa Mehta,A.R. Rehman,175,120000000,23600000,0.196666667,2005,117,7.7,14461
40,Rang De Basanti,Drama,No,Aamir Khan,Rakesh Omprakash Mehra,A.R. Rehman,600,280000000,979080000,3.496714286,2006,167,8.1,114446
30,Guru,Drama,No,Abhishek Bachchan,Mani Ratnam,A.R. Rehman,650,220000000,836710000,3.803227273,2007,166,7.7,22476
487,Yuvvraaj,Drama,No,Salman Khan,Subhash Ghai,A.R. Rehman,1100,480000000,312200000,0.650416667,2008,151,4.1,4147
36,Ghajini,Action,No,Aamir Khan,A.R. Murugadoss,A.R. Rehman,1550,520000000,1945820000,3.741961538,2008,186,7.3,57604
169,Jodhaa Akbar,Romance,No,Hrithik Roshan,Ashutosh Gowariker,A.R. Rehman,1000,550000000,1077817500,1.959668182,2008,213,7.6,30717
432,Blue,Action,No,Akshay Kumar,Anthony D'Souza,A.R. Rehman,1500,800000000,639212500,0.799015625,2009,119,3.7,4674
402,Raavan,Action,No,Abhishek Bachchan,Mani Ratnam,A.R. Rehman,1350,550000000,495722500,0.901313636,2010,130,5.4,4245
221,Rockstar,Drama,No,Ranbir Kapoor,Imtiaz Ali,A.R. Rehman,1950,660000000,1087017500,1.646996212,2011,159,7.7,40835
502,Ekk Deewana Tha,Romance,No,Prateik Babbar,Gautham Menon,A.R. Rehman,600,140000000,85557500,0.611125,2012,136,5.9,2973
87,Jab Tak Hai Jaan,Romance,No,Shahrukh Khan,Yash Chopra,A.R. Rehman,2450,780000000,2102642500,2.695695513,2012,176,6.7,52231
95,Raanjhanaa,Romance,Yes,Dhanush,Anand L. Rai,A.R. Rehman,1450,360000000,941342500,2.614840278,2013,140,7.6,30344
178,Highway,Drama,No,Randeep Hooda,Imtiaz Ali,A.R. Rehman,750,250000000,477065000,1.90826,2014,133,7.6,27168
232,Lekar Hum Deewana Dil,Romance,Yes,Armaan Jain,Arif Ali,A.R. Rehman,875,28200000,45360000,1.608510638,2014,140,4.9,679
238,Tamasha,Drama,No,Ranbir Kapoor,Imtiaz Ali,A.R. Rehman,2050,870000000,1366387500,1.570560345,2015,139,7.3,24623
443,Mohenjo Daro,Drama,No,Hrithik Roshan,Ashutosh Gowariker,A.R. Rehman,2700,1380000000,1040750000,0.754166667,2016,155,5.7,10903
215,Sachin - A Billion Dreams,Documentary,Yes,Sachin Tendulkar,James Erskine,A.R. Rehman,1950,390000000,649515000,1.665423077,2017,138,8.6,7711
245,Mom,Drama,No,Sridevi,Ravi Udyawar,A.R. Rehman,1200,370000000,565740000,1.529027027,2017,146,7.3,9395
271,Ok Jaanu,Drama,No,Aditya Roy Kapoor,Shaad Ali,A.R. Rehman,1400,270000000,375020000,1.388962963,2017,135,5.2,3883
